"fid,N,10,0","c_bien_id,N,20,0","d_denomina,C,254","c_categori,N,24,15","d_categori,C,254","f_protecci,D","url_pweb,C,104"
1,1880,MONASTERIO DE SAN PEDRO DE CARDE├æA,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=1880
2,2536,IGLESIA PARROQUIAL DE SAN MIGUEL,933.000000000000000,MONUMENTO,02/02/83,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=2536
3,4054,IGLESIA DE SAN ESTEBAN,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=4054
4,2929,IGLESIA PARROQUIAL DE SAN JUAN,933.000000000000000,MONUMENTO,01/23/92,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=2929
5,2952,IGLESIA PARROQUIAL,933.000000000000000,MONUMENTO,05/23/83,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=2952
6,3019,CASTILLO DE LOS CONDES DE AVELLANEDA,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=3019
7,3815,IGLESIA PARROQUIAL,933.000000000000000,MONUMENTO,11/14/91,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=3815
8,5018,PALACIO DEL CONDE LUNA,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=5018
9,4665,IGLESIA DE SAN MIGUEL,933.000000000000000,MONUMENTO,11/20/97,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=4665
10,5629,SANTUARIO DE LA VIRGEN DE LA VELILLA,933.000000000000000,MONUMENTO,07/24/82,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=5629
11,5410,IGLESIA DE SAN TIRSO,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=5410
12,7558,CONVENTO DE SAN PABLO,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=7558
13,6359,ROLLO DE JUSTICIA DE LA VILLA,933.000000000000000,MONUMENTO,02/18/60,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=6359
14,6501,IGLESIA DE SANTA EUFEMIA,933.000000000000000,MONUMENTO,01/15/82,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=6501
15,6667,IGLESIA DE SANTA EUGENIA,933.000000000000000,MONUMENTO,07/24/70,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=6667
16,6786,IGLESIA DE SANTA MARIA,933.000000000000000,MONUMENTO,04/27/00,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=6786
17,7874,MONASTERIO DE SANTA MARIA DE VEGA,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=7874
18,5915,ERMITA DE SANTA COLOMBA,933.000000000000000,MONUMENTO,06/03/31,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=5915
19,6927,IGLESIA DE SANTA MARIA DEL CASTILLO,933.000000000000000,MONUMENTO,08/25/78,https://servicios.jcyl.es/pweb/datosGIS.do?tipo=inmueble&numero=6927
